Program,Wait Time,Ready Time,Run Time,I/O Operations,Instructions Executed,Page Faults
Program 01,31.8366184,0.098504,19.8005733,12,140,0
Program 02,27.4906483,19.5418262,0.185345,12,149,0
Program 03,25.4221992,19.7663803,0.189014,12,141,0
Program 04,25.4778366,18.7402058,0.253441,12,91,0
Program 05,25.1928864,18.9724922,0.183787,12,149,0
Program 06,25.1089802,19.1417847,0.178074,12,141,0
Program 07,23.8234768,19.3309002,0.211713,12,91,0
Program 08,23.3879433,19.4721088,0.150338,12,91,0
Program 09,22.7463837,19.6015072,0.175945,12,141,0
Program 10,22.3731556,19.6775417,0.177471,12,149,0
Program 11,31.5700512,10.3556824,0.179001,12,140,0
Program 12,31.4416714,7.7368078,0.279141,12,149,0
Program 13,31.1106644,8.520174,0.235579,12,141,0
Program 14,31.1015072,8.9500561,0.204289,10,75,0
Program 15,33.3491669,7.0297098,0.195172,11,128,0
Program 16,40.7826309,1.8953561,0.107329,5,35,0
Program 17,40.6624222,1.96797,0.172588,12,149,0
Program 18,39.6285591,2.148638,0.165916,12,141,0
Program 19,39.6610298,2.2923291,0.154822,10,120,0
Program 20,39.7692108,2.415307,0.165485,12,141,0
Program 21,37.8552094,2.557739,0.132056,13,99,0
Program 22,37.8410797,2.898052,0.184454,12,149,0
Program 23,37.8025284,3.1164229,0.184448,11,127,0
Program 24,36.8279457,3.339,0.183279,12,141,0
Program 25,36.488308,3.561584,0.133953,7,75,0
Program 26,36.5323601,3.718437,0.114945,8,59,0
Program 27,36.4066505,3.8731711,0.170932,12,140,0
Program 28,36.4147034,4.089592,0.188971,12,149,0
Program 29,36.4644737,4.3261399,0.178697,12,141,0
Program 30,34.9087334,4.5629578,0.144535,11,83,0
