Program,Wait Time,Ready Time,Run Time,I/O Operations,Instructions Executed,Page Faults
Program 01,4.6817732,4.9182758,0.168661,12,140,0
Program 02,13.3098612,6.7113791,0.484983,12,149,0
Program 03,5.3612828,6.0477958,0.20036,12,141,0
Program 04,2.972857,2.8460121,0.194426,12,91,0
Program 05,13.2649164,7.2877469,0.228182,12,149,0
Program 06,5.3749781,6.2905688,0.209025,12,141,0
Program 07,2.5927639,3.286592,0.172356,12,91,0
Program 08,2.7213039,3.487529,0.141648,12,91,0
Program 09,11.5339432,2.4859331,0.17769,12,141,0
Program 10,12.7284241,7.6781411,0.678026,12,149,0
Program 11,3.8023629,5.1281881,0.304118,12,140,0
Program 12,12.8579941,9.7721672,0.544032,12,149,0
Program 13,11.4709978,2.737031,0.348813,12,141,0
Program 14,2.6052279,3.7161419,0.128026,10,75,0
Program 15,11.5220509,3.200582,0.156722,11,128,0
Program 16,2.7040279,3.8808911,0.114322,5,35,0
Program 17,12.8444729,10.6951933,0.292033,12,149,0
Program 18,11.4959555,3.452143,0.170017,12,141,0
Program 19,12.910162,11.197751,0.243109,10,120,0
Program 20,11.585495,3.712122,0.375642,12,141,0
Program 21,2.611264,4.0327148,0.156935,13,99,0
Program 22,13.1909409,11.3387642,0.347371,12,149,0
Program 23,3.409946,5.4848862,0.175401,11,127,0
Program 24,11.5119057,4.1781912,1.7326829,12,141,0
Program 25,3.5469971,5.6623859,0.131285,7,75,0
Program 26,2.554117,4.2304869,0.349203,8,59,0
Program 27,3.6273701,5.838438,0.172673,12,140,0
Program 28,24.8378563,0.243935,0.311336,12,149,0
Program 29,11.4179211,6.0289731,0.242733,12,141,0
Program 30,2.536983,4.7273378,0.207177,11,83,0
