Program,Wait Time,Ready Time,Run Time,I/O Operations,Instructions Executed,Page Faults
Program 01,9.7463722,1.504871,106.2146835,12,140,14
Program 02,11.1650105,19.9234447,86.0333328,12,149,14
Program 03,11.583601,21.9964809,77.2868576,12,141,13
Program 04,11.2528582,21.0370636,65.3203506,12,91,9
Program 05,10.7222652,17.0881672,88.5454254,12,149,14
Program 06,11.4695702,23.0670357,76.4108887,12,141,13
Program 07,11.1081114,21.2965202,65.916069,12,91,9
Program 08,13.648941,25.4298325,64.042038,12,91,9
Program 09,10.2721958,15.968667,83.7762909,12,141,13
Program 10,11.5730305,25.6734524,80.1304474,12,149,14
Program 11,10.398119,17.3360004,92.9873276,12,140,14
Program 12,11.2745056,23.9321804,81.6485672,12,149,14
Program 13,11.4152927,26.6493263,82.1944275,12,141,13
Program 14,10.0059128,16.3330307,64.8126755,10,75,8
Program 15,10.6278658,21.36306,77.796669,11,128,13
Program 16,10.8862925,23.7176514,53.6830025,5,35,7
Program 17,10.1215162,20.3447895,85.3070145,12,149,14
Program 18,11.0964308,27.0393009,81.4472656,12,141,13
Program 19,6.5249009,1.720028,100.1098938,10,120,13
Program 20,9.6500835,16.7504253,91.9036789,12,141,13
Program 21,9.9972601,20.5477009,65.315979,13,99,9
Program 22,10.7764301,26.402216,82.274826,12,149,14
Program 23,10.1334028,21.6150551,79.528389,11,127,13
Program 24,10.3131142,23.6903191,75.6174469,12,141,13
Program 25,10.4486923,25.2994289,68.9167709,7,75,11
Program 26,9.7195072,20.8253536,60.3814926,8,59,8
Program 27,10.3508034,25.6331387,79.7171021,12,140,14
Program 28,8.2873144,18.6881905,89.133667,12,149,14
Program 29,6.4362078,0.933872,106.9721603,12,141,13
Program 30,8.6898193,23.7780876,64.9721298,11,83,9
