Program,Wait Time,Ready Time,Run Time,I/O Operations,Instructions Executed,Page Faults
Program 01,23.0843601,15.6119204,277.6763306,12,140,14
Program 02,23.502676,19.2074871,275.3347778,12,149,14
Program 03,22.2635002,15.6709337,276.1185303,12,141,13
Program 04,12.8263702,0.228684,115.5701599,12,91,9
Program 05,22.4658966,19.5593014,272.2159424,12,149,14
Program 06,21.5082645,16.9650154,294.4633179,12,141,13
Program 07,13.5282927,2.3494301,112.3454514,12,91,9
Program 08,17.5278015,0.076389,111.2014008,12,91,9
Program 09,20.8902798,17.4914646,220.6747742,12,141,13
Program 10,21.2996006,19.9379673,272.1532593,12,149,14
Program 11,19.2177677,15.5948477,276.315155,12,140,14
Program 12,20.7562733,19.9361477,272.2845764,12,149,14
Program 13,19.622654,17.7761993,280.4382019,12,141,13
Program 14,17.2672958,0.057386,105.1566162,10,75,8
Program 15,19.0896454,17.8238201,292.8426514,11,128,13
Program 16,16.6967564,14.5473471,79.544342,5,35,7
Program 17,18.5210552,20.2135105,274.4405823,12,149,14
Program 18,17.7642078,18.1122437,270.7101135,12,141,13
Program 19,17.9768219,20.4610157,266.0435486,10,120,13
Program 20,17.2839603,18.272604,268.4133301,12,141,13
Program 21,15.0255289,14.8273087,94.7498703,13,99,9
Program 22,17.2879124,20.4877682,271.1726074,12,149,14
Program 23,15.5942736,15.665328,258.9191589,11,127,13
Program 24,16.6645546,18.6281109,271.9881592,12,141,13
Program 25,15.9520693,15.4835091,104.3775177,7,75,11
Program 26,14.6566086,15.1375923,85.4984512,8,59,8
Program 27,15.8886547,15.603919,280.1805115,12,140,14
Program 28,16.9158955,20.5151157,270.6752625,12,149,14
Program 29,16.3930378,18.9941559,270.5898438,12,141,13
Program 30,12.9003668,15.3793497,93.4891129,11,83,9
