Time (ns),Memory Usage (%)
0,0.390625
177560,0.78125
242306,1.171875
300104,1.5625
951322,1.953125
1054681,2.34375
1231987,2.734375
1474462,3.125
1536790,3.515625
1676904,3.90625
2087116,4.296875
2466591,4.6875
2569012,5.078125
2804554,5.46875
2890331,5.859375
3061428,6.25
3399326,6.640625
3594210,7.03125
3702852,7.421875
3899594,7.8125
4024188,8.203125
4594226,8.59375
4784031,8.984375
5079228,9.375
5153413,9.765625
5661628,10.15625
5776625,10.546875
5983206,10.9375
6084566,11.328125
6260801,11.71875
7055283,12.109375
7206630,12.5
8237280,12.890625
8473037,13.28125
9018611,13.671875
9873521,14.0625
10414090,14.453125
10559947,14.84375
10765196,15.234375
11012674,15.625
11322600,16.015625
11550172,16.40625
11627475,16.796875
11858653,17.1875
12194588,17.578125
12441993,17.96875
12524407,18.359375
12714683,18.75
12899388,19.140625
13698086,19.53125
13942805,19.921875
14151606,20.3125
14756628,20.703125
15467604,21.09375
15585252,21.484375
15822920,21.875
16201851,22.265625
16592544,22.65625
16861964,23.046875
16948542,23.4375
17455202,23.828125
17979070,24.21875
19373038,24.609375
19525290,25
20391287,25.390625
20703594,25.78125
20951560,26.171875
21256504,26.5625
21340720,26.953125
21553950,27.34375
21838516,27.734375
22151990,28.125
22524613,28.515625
22636652,28.90625
22725574,29.296875
22986597,29.6875
23529606,30.078125
23985226,30.46875
24091182,30.859375
24170357,31.25
24586956,31.640625
25093893,32.03125
26505552,32.421875
27283024,32.8125
27939327,33.203125
28235822,33.59375
28632370,33.984375
29018224,34.375
29131014,34.765625
29462191,35.15625
29592474,35.546875
30071641,35.9375
30538801,36.328125
30996612,36.71875
31660746,37.109375
32025321,37.5
32348391,37.890625
32739278,38.28125
33444303,38.671875
34856817,39.0625
35567958,39.453125
36011640,39.84375
36327712,40.234375
36630530,40.625
36898045,41.015625
37237441,41.40625
37560985,41.796875
37935767,42.1875
38162813,42.578125
38250785,42.96875
38338086,43.359375
38584888,43.75
39034205,44.140625
39346345,44.53125
39553534,44.921875
39693152,45.3125
39940624,45.703125
40036276,46.09375
40570026,46.484375
40762148,46.875
41008267,47.265625
41457032,47.65625
42068104,48.046875
42252406,48.4375
42600666,48.828125
42969876,49.21875
43106960,49.609375
44360960,50
44500002,50.390625
44611285,50.78125
44845075,51.171875
45551748,51.5625
45823670,51.953125
45934965,52.34375
46020284,52.734375
46227704,53.125
46958848,53.515625
47655195,53.90625
47829551,54.296875
48177493,54.6875
48290086,55.078125
48573712,55.46875
49023907,55.859375
49294750,56.25
49416612,56.640625
49697934,57.03125
50138234,57.421875
50555231,57.8125
51014271,58.203125
51113026,58.59375
51273653,58.984375
51473346,59.375
51574232,59.765625
51751743,60.15625
52020412,60.546875
52228106,60.9375
52571401,61.328125
52696156,61.71875
52897685,62.109375
53001001,62.5
53160241,62.890625
53452906,63.28125
53907755,63.671875
54018694,64.0625
54223212,64.453125
54325645,64.84375
54597920,65.234375
54874425,65.625
55336014,66.015625
55603610,66.40625
55733222,66.796875
55840906,67.1875
56046244,67.578125
56253713,67.96875
56674921,68.359375
56793198,68.75
57010363,69.140625
57131570,69.53125
57361270,69.921875
57720244,70.3125
57974570,70.703125
58118287,71.09375
58377708,71.484375
58802485,71.875
59006464,72.265625
59285622,72.65625
59495773,73.046875
59633694,73.4375
59859917,73.828125
60080162,74.21875
60461867,74.609375
60746274,75
60860887,75.390625
60962588,75.78125
61188528,76.171875
61507955,76.5625
61699516,76.953125
61812683,77.34375
61966102,77.734375
62232370,78.125
62446246,78.515625
62682454,78.90625
63134605,79.296875
63238294,79.6875
63621268,80.078125
63733671,80.46875
64117825,80.859375
64389793,81.25
64490235,81.640625
64709072,82.03125
65289246,82.421875
65558676,82.8125
65658513,83.203125
65766793,83.59375
66012610,83.984375
66768600,84.375
66868047,84.765625
66959472,85.15625
67487770,85.546875
67583044,85.9375
67748934,86.328125
67997080,86.71875
68038668,86.328125
68047091,85.9375
68052146,85.546875
68164654,85.9375
68184026,85.546875
68192023,85.15625
68215025,84.765625
68238360,84.375
68684122,84.765625
68844591,85.15625
68918117,85.546875
69285214,85.9375
69522653,86.328125
69806611,86.71875
69902784,87.109375
70110344,87.5
70196766,87.890625
70392031,88.28125
70661968,88.671875
70891227,89.0625
71095108,89.453125
71511923,89.84375
71838530,90.234375
71946906,90.625
72073160,91.015625
72280664,91.40625
72502632,91.796875
72873494,92.1875
73136311,92.578125
73223006,92.96875
73408634,93.359375
73503193,93.75
73662751,94.140625
74130943,94.53125
74459601,94.921875
74574983,95.3125
74664428,95.703125
74912687,96.09375
75063314,95.703125
75069838,95.3125
75074070,94.921875
75103392,94.53125
75108680,94.140625
75127190,93.75
75133604,93.359375
75150608,92.96875
76175728,93.359375
76668285,93.75
76790574,94.140625
77055306,94.53125
77162760,94.921875
77727000,95.3125
78099692,95.703125
78218326,96.09375
78419061,96.484375
78648685,96.875
78833752,97.265625
78925130,96.875
78931786,96.484375
78936637,96.09375
78968326,95.703125
78973437,95.3125
78991317,94.921875
78996693,94.53125
