Time (ns),Memory Usage (%)
0,0.390625
321973,0.78125
802531,1.171875
1278264,1.5625
1680627,1.953125
2011714,2.34375
4655388,2.734375
5156316,3.125
5501027,3.515625
5842976,3.90625
6109454,4.296875
6403496,4.6875
6846123,5.078125
7266413,5.46875
8143089,5.859375
8298074,6.25
8459908,6.640625
9036743,7.03125
9146051,7.421875
10681744,7.8125
10843806,8.203125
10960767,8.59375
11904834,8.984375
12051424,9.375
12195163,9.765625
12467764,10.15625
12909909,10.546875
13161930,10.9375
13449640,11.328125
13710804,11.71875
13969126,12.109375
14421051,12.5
14856555,12.890625
15453083,13.28125
15688355,13.671875
15965063,14.0625
16338160,14.453125
16688557,14.84375
16781389,15.234375
17041956,15.625
17365070,16.015625
17450966,16.40625
17782736,16.796875
18091163,17.1875
18364148,17.578125
18548448,17.96875
18758081,18.359375
19090744,18.75
20450641,19.140625
21036646,19.53125
21759231,19.921875
21930969,20.3125
22014028,20.703125
22289614,21.09375
22664599,21.484375
22754564,21.875
23897478,22.265625
23993280,22.65625
24337367,23.046875
24696333,23.4375
24779455,23.828125
25094757,24.21875
25245688,24.609375
25753345,25
25837207,25.390625
26043844,25.78125
26292586,26.171875
26681143,26.5625
26881031,26.953125
27083287,27.34375
27412131,27.734375
27770605,28.125
27886247,28.515625
28285590,28.90625
28743050,29.296875
29111850,29.6875
29311599,30.078125
29479849,30.46875
34332134,30.859375
34939268,31.25
35107954,31.640625
35337080,32.03125
35539068,32.421875
35762229,32.8125
36294551,33.203125
36557724,33.59375
36873565,33.984375
37153348,34.375
37442084,34.765625
37673089,35.15625
37928890,35.546875
38186743,35.9375
38402206,36.328125
38788605,36.71875
39010996,37.109375
39415276,37.5
39835400,37.890625
40141830,38.28125
40367600,38.671875
40576708,39.0625
40789321,39.453125
40993674,39.84375
41204247,40.234375
41492936,40.625
41709010,41.015625
41976440,41.40625
42185271,41.796875
42358891,42.1875
42514266,42.578125
42685664,42.96875
42826149,43.359375
42959283,43.75
43090350,44.140625
43243866,44.53125
43699104,44.921875
43849528,45.3125
43986744,45.703125
44122559,46.09375
44267170,46.484375
44390304,46.875
44538345,47.265625
44680315,47.65625
44804913,48.046875
44937075,48.4375
45061427,48.828125
45208043,49.21875
45431550,49.609375
45622196,50
45754555,50.390625
45876527,50.78125
46010729,51.171875
46126633,51.5625
46243597,51.953125
46387436,52.34375
46517833,52.734375
46634600,53.125
46751395,53.515625
46865855,53.90625
46978036,54.296875
47083373,54.6875
47187317,55.078125
47300144,55.46875
47431254,55.859375
47544593,56.25
47661104,56.640625
47774034,57.03125
48817267,57.421875
48941253,57.8125
49057813,58.203125
49184128,58.59375
49316954,58.984375
49428281,59.375
49570478,59.765625
49665583,60.15625
49701566,60.546875
49802183,60.9375
49840863,61.328125
49977533,61.71875
50017905,62.109375
50092968,62.5
50346649,62.890625
50461509,63.28125
50501004,63.671875
50529711,64.0625
51925280,64.453125
52098195,64.84375
52242769,65.234375
52446366,65.625
52484703,66.015625
52520159,66.40625
52609424,66.796875
52720683,67.1875
52857917,67.578125
53312947,67.96875
53668247,68.359375
53786323,68.75
54495613,69.140625
54791167,69.53125
55038786,69.921875
55272275,70.3125
55425026,70.703125
55583674,71.09375
55798069,71.484375
55947234,71.875
56093744,72.265625
56405350,72.65625
56559401,73.046875
56717833,73.4375
56867593,73.828125
57080555,74.21875
57341718,74.609375
57610555,75
58667801,75.390625
58785547,75.78125
59065399,76.171875
59308321,76.5625
59523395,76.953125
59779863,77.34375
59846523,77.734375
60046524,78.125
60372363,78.515625
60728749,78.90625
60878504,79.296875
60988623,79.6875
61116720,80.078125
61229369,80.46875
61350561,80.859375
61454801,81.25
61559029,81.640625
61681733,82.03125
61781293,82.421875
61893117,82.8125
62008774,83.203125
62109408,83.59375
62206748,83.984375
62379034,84.375
62544389,84.765625
62649954,85.15625
62773726,85.546875
62876907,85.9375
63011637,85.546875
63015716,85.15625
63017795,84.765625
63097638,84.375
63102530,83.984375
63117518,83.59375
63120735,83.203125
63245375,83.59375
63365896,83.984375
63496270,84.375
63618319,84.765625
63720850,85.15625
63818636,85.546875
63916576,85.9375
64026650,86.328125
64128880,86.71875
64224503,87.109375
64333236,87.5
64438516,87.890625
64539170,88.28125
64655768,88.671875
64755743,89.0625
65479234,89.453125
65703115,89.0625
65709990,88.671875
65718256,88.28125
65759490,87.890625
65770354,87.5
65790296,87.109375
65792765,86.71875
65877246,86.328125
66175296,86.71875
66274747,86.328125
66315647,85.9375
66318407,85.546875
66349868,85.15625
66362223,84.765625
66378206,84.375
66380413,83.984375
66396880,83.59375
67041404,83.984375
67719214,84.375
67910365,84.765625
68225667,85.15625
68394203,85.546875
68544931,85.9375
68693804,86.328125
68859470,86.71875
68895170,87.109375
69039881,87.5
69155808,87.890625
69312001,88.28125
69484367,88.671875
69641355,89.0625
69788473,89.453125
69924486,89.84375
70056558,90.234375
70211163,90.625
70354234,91.015625
70482447,91.40625
70604015,91.796875
70755761,92.1875
70877025,91.796875
70880175,91.40625
70881920,91.015625
70917453,90.625
70920284,90.234375
70933816,89.84375
70935506,89.453125
70948546,89.0625
70963496,88.671875
71126466,89.0625
71255209,89.453125
71381234,89.84375
71480068,89.453125
71482905,89.0625
71486668,88.671875
71521255,88.28125
71525623,87.890625
71539753,87.5
71541520,87.109375
71554590,86.71875
71572549,86.328125
71727640,86.71875
71860309,87.109375
71987814,87.5
72198624,87.890625
72313683,88.28125
72393407,87.890625
72396923,87.5
72398404,87.109375
72432158,86.71875
72434680,86.328125
72450145,85.9375
72451919,85.546875
72468805,85.15625
72483368,84.765625
72629917,85.15625
72750327,85.546875
72862167,85.9375
72983079,86.328125
73271435,86.71875
73685173,87.109375
73921453,87.5
74154530,87.890625
74298709,88.28125
74383476,87.890625
74386810,87.5
74388333,87.109375
74424683,86.71875
74426993,86.328125
74444584,85.9375
74452544,85.546875
74469434,85.15625
74583056,84.765625
74778116,85.15625
75015484,85.546875
75720647,85.9375
75902366,86.328125
76089388,86.71875
76380256,87.109375
76419787,87.5
76526153,87.890625
76631199,88.28125
76738726,88.671875
76884127,89.0625
76986075,89.453125
77078914,89.84375
77176530,90.234375
77245233,89.84375
77247584,89.453125
77248896,89.0625
77269318,88.671875
77271255,88.28125
77287680,87.890625
77289433,87.5
77299948,87.109375
77310216,86.71875
77433125,87.109375
77529006,87.5
77650919,87.890625
77824281,88.28125
77954303,88.671875
78058023,89.0625
78178558,89.453125
78293453,89.84375
78394649,90.234375
78508877,90.625
78609646,91.015625
78718516,91.40625
78823121,91.796875
78926827,92.1875
79029999,92.578125
79141629,92.96875
79229105,93.359375
79321415,93.75
79413949,94.140625
79513916,94.53125
79601073,94.921875
79702269,95.3125
79796411,95.703125
79893963,96.09375
79946361,95.703125
79959688,95.3125
79961748,94.921875
79962785,94.53125
79963851,94.140625
79983951,93.75
79985366,93.359375
79995446,92.96875
79996707,92.578125
79997734,92.1875
80007088,91.796875
80112753,92.1875
80212988,92.578125
80324608,92.96875
80422414,93.359375
80531926,93.75
80645504,94.140625
80777043,94.53125
80955894,94.921875
81116096,95.3125
81442975,95.703125
81611584,96.09375
81784311,96.484375
81950165,96.875
82078841,97.265625
82233288,97.65625
82389467,98.046875
82569665,98.4375
82725929,98.828125
82880514,99.21875
83013263,99.609375
83163816,100
83262573,99.609375
83265136,99.21875
83266076,98.828125
83267023,98.4375
83392447,98.828125
83463727,98.4375
83467845,98.046875
83469479,97.65625
83496983,97.265625
83499189,96.875
83500191,96.484375
83501047,96.09375
83501931,95.703125
83514923,95.3125
83791683,95.703125
83840303,96.09375
83942125,96.484375
84111983,96.875
84210616,96.484375
84213135,96.09375
84214384,95.703125
84215256,95.3125
84246845,94.921875
84248969,94.53125
84249853,94.140625
84263238,93.75
84264763,93.359375
84277449,92.96875
84281958,92.578125
84283009,92.1875
84294490,91.796875
84388786,91.40625
84391388,91.015625
84392187,90.625
84392910,90.234375
84409730,89.84375
84411601,89.453125
84412387,89.0625
84426437,88.671875
84428211,88.28125
84439149,87.890625
84440985,87.5
84441958,87.109375
84480875,87.5
84513176,87.109375
84623465,86.71875
84625439,86.328125
84626275,85.9375
84627116,85.546875
84655505,85.9375
84681385,85.546875
84683393,85.15625
84684318,84.765625
84699360,84.375
84700854,83.984375
84711047,83.59375
84712296,83.203125
84713275,82.8125
84722475,82.421875
84823594,82.03125
84825684,81.640625
84826707,81.25
84827567,80.859375
84842150,80.46875
84843685,80.078125
84844508,79.6875
84855347,79.296875
84856744,78.90625
84866788,78.515625
84868108,78.125
84869081,77.734375
84878748,77.34375
84945269,76.953125
84946850,76.5625
84947729,76.171875
84948529,75.78125
84976918,75.390625
84978456,75
84979334,74.609375
84990267,74.21875
84991504,73.828125
85001159,73.4375
85002311,73.046875
85003169,72.65625
85012654,72.265625
85207573,72.65625
86446799,72.265625
86453523,71.875
86454734,71.484375
86457754,71.09375
86458763,70.703125
