Time (ns),Memory Usage (%)
0,0.390625
267645,0.78125
375322,1.171875
450960,1.5625
851558,1.953125
1217410,2.34375
1507158,2.734375
1793107,3.125
2103350,3.515625
2503844,3.90625
4156552,4.296875
4444828,4.6875
4982827,5.078125
5109395,5.46875
5473031,5.859375
5957910,6.25
6588143,6.640625
6869781,7.03125
7006382,7.421875
7264081,7.8125
7668636,8.203125
7951407,8.59375
8114113,8.984375
8516601,9.375
8746823,9.765625
8827110,10.15625
9257143,10.546875
9491140,10.9375
9843943,11.328125
10034541,11.71875
10119960,12.109375
10594807,12.5
10847410,12.890625
11109515,13.28125
11374865,13.671875
11619863,14.0625
11871355,14.453125
12118283,14.84375
12403944,15.234375
12651756,15.625
12946402,16.015625
13355223,16.40625
14216155,16.796875
14734303,17.1875
15222611,17.578125
16042082,17.96875
16367711,18.359375
16735438,18.75
16874624,19.140625
17045720,19.53125
17666047,19.921875
17851518,20.3125
18183395,20.703125
18285324,21.09375
18576754,21.484375
18935651,21.875
19204068,22.265625
19571641,22.65625
19659533,23.046875
20000754,23.4375
20221951,23.828125
20951625,24.21875
21198506,24.609375
21329545,25
21629263,25.390625
21936893,25.78125
22292066,26.171875
22598648,26.5625
22932828,26.953125
23298286,27.34375
23651592,27.734375
24101425,28.125
24429928,28.515625
24954436,28.90625
25102393,29.296875
25327825,29.6875
26165053,30.078125
26657791,30.46875
26800462,30.859375
26922086,31.25
27634725,31.640625
28083044,32.03125
28239912,32.421875
28373156,32.8125
28621803,33.203125
29497514,33.59375
29893226,33.984375
30068144,34.375
30577552,34.765625
30722892,35.15625
31143543,35.546875
31809070,35.9375
32257628,36.328125
32615274,36.71875
32984596,37.109375
33099844,37.5
33495542,37.890625
33821623,38.28125
34146821,38.671875
34250384,39.0625
34558358,39.453125
34863900,39.84375
35437280,40.234375
35879240,40.625
36022470,41.015625
36175796,41.40625
37014527,41.796875
38082114,42.1875
38435284,42.578125
38737870,42.96875
39528227,43.359375
39652445,43.75
39764663,44.140625
39982766,44.53125
40632433,44.921875
41157122,45.3125
41279063,45.703125
41392207,46.09375
41625862,46.484375
42075093,46.875
42314782,47.265625
42428460,47.65625
42639090,48.046875
42836182,48.4375
43257561,48.828125
43496340,49.21875
43863865,49.609375
44287514,50
44419932,50.390625
44689716,50.78125
44813780,51.171875
45040441,51.5625
45258672,51.953125
45462957,52.34375
45681702,52.734375
45885783,53.125
46207452,53.515625
46718314,53.90625
47917048,54.296875
48643763,54.6875
48813653,55.078125
49457508,55.46875
49872543,55.859375
50377196,56.25
51592645,56.640625
51842596,57.03125
53172386,57.421875
53655271,57.8125
54011834,58.203125
54539160,58.59375
54670433,58.984375
54896250,59.375
55180286,59.765625
55312591,60.15625
55722077,60.546875
56018271,60.9375
56477707,61.328125
56826260,61.71875
57253078,62.109375
57746965,62.5
58316360,62.890625
58521748,63.28125
59625080,63.671875
59838533,64.0625
60101597,64.453125
60647023,64.84375
61085045,65.234375
61376825,65.625
61601927,66.015625
62577172,66.40625
63170077,66.796875
63713850,67.1875
63899076,67.578125
64230131,67.96875
65011043,68.359375
65775833,68.75
66164966,69.140625
66490741,69.53125
66960144,69.921875
67635715,70.3125
67824567,70.703125
68316146,71.09375
68751091,71.484375
69085242,71.875
69455582,72.265625
69982350,72.65625
70217433,73.046875
70549130,73.4375
71038124,73.828125
71184301,74.21875
71323446,74.609375
71657970,75
71988118,75.390625
72318690,75.78125
72687271,76.171875
73022997,76.5625
73402141,76.953125
73824104,77.34375
74308828,77.734375
74782046,78.125
75245990,78.515625
75690045,78.90625
76138118,79.296875
76586992,79.6875
77163208,80.078125
77578146,80.46875
77955960,80.859375
78385424,81.25
78927147,81.640625
79402674,82.03125
79815660,82.421875
80179420,82.03125
80186757,81.640625
80190754,81.25
80690844,81.640625
81083400,82.03125
81227988,81.640625
81238037,81.25
81276047,80.859375
81285623,80.46875
81588852,80.859375
81832948,81.25
82247843,81.640625
82384220,82.03125
82651567,82.421875
82796911,82.8125
83066241,83.203125
83349184,83.59375
83607426,83.984375
83851704,84.375
84020631,84.765625
84255918,85.15625
84605043,85.546875
84851367,85.9375
85002603,86.328125
85232822,86.71875
85513081,87.109375
85768305,87.5
85858412,87.890625
86055022,88.28125
86321107,88.671875
86488598,89.0625
86571670,89.453125
86724527,89.84375
86775228,89.453125
86789967,89.0625
86793860,88.671875
86820822,88.28125
86825224,87.890625
86856485,87.5
86860503,87.109375
86875670,86.71875
87535291,87.109375
87639747,87.5
88131884,87.890625
88461920,88.28125
88554050,88.671875
88709357,89.0625
88872668,89.453125
89320798,89.84375
89464470,90.234375
89699364,90.625
89787942,91.015625
90089085,91.40625
90403527,91.796875
90646620,92.1875
90945192,92.578125
90989051,92.1875
90994526,91.796875
91000404,91.40625
91023437,91.015625
91028112,90.625
91088387,91.015625
91203274,90.625
91210101,90.234375
91234038,89.84375
91327621,90.234375
91456380,90.625
91529385,91.015625
91771760,91.40625
92063604,91.796875
92505048,92.1875
92661756,92.578125
92741326,92.96875
92820364,93.359375
93016400,93.75
93400557,94.140625
93495070,94.53125
93561467,94.921875
93773702,95.3125
93972425,95.703125
94123925,95.3125
94130890,94.921875
94134613,94.53125
94159004,94.140625
94162581,93.75
94176928,93.359375
94180166,92.96875
94193384,92.578125
94207032,92.1875
94759163,92.578125
94781885,92.1875
94795292,91.796875
94853493,92.1875
94871100,91.796875
94898292,91.40625
94907251,91.015625
94926000,90.625
94930181,90.234375
94946160,89.84375
94964740,89.453125
95067162,89.0625
95071845,88.671875
95075358,88.28125
95211991,88.671875
95229813,88.28125
95235981,87.890625
95256571,87.5
95260621,87.109375
95280610,86.71875
95295424,86.328125
95512128,85.9375
95517834,85.546875
95521933,85.15625
95547431,84.765625
95555113,84.375
95572640,83.984375
95577590,83.59375
95593613,83.203125
95611571,82.8125
95729766,82.421875
95734758,82.03125
95738361,81.640625
95772023,81.25
95776465,80.859375
95792152,80.46875
95795634,80.078125
95808755,79.6875
95822733,79.296875
96045451,79.6875
96500966,80.078125
97576412,80.46875
98078320,80.859375
98292788,81.25
98385044,81.640625
98537527,82.03125
99117932,82.421875
99221583,82.8125
99535672,83.203125
100640248,83.59375
101274288,83.984375
101593298,84.375
101699300,84.765625
102068772,85.15625
102158747,85.546875
102599825,85.9375
103153460,86.328125
103295970,86.71875
103698048,87.109375
103867526,87.5
104104238,87.890625
104241511,88.28125
104430153,88.671875
104619275,89.0625
104705165,89.453125
105168631,89.84375
105467342,90.234375
105716486,90.625
105949637,91.015625
106225286,91.40625
106304581,91.796875
106479192,92.1875
106693344,92.578125
106781340,92.96875
107046388,93.359375
107218573,92.96875
107223586,92.578125
107227168,92.1875
107230521,91.796875
107233770,91.40625
107262246,91.015625
107276364,90.625
107294282,90.234375
107300235,89.84375
107303718,89.453125
107318425,89.0625
107431401,89.453125
109243631,89.84375
109639501,90.234375
109945102,90.625
112411390,91.015625
112752467,91.40625
132176800,91.796875
132530812,92.1875
132837131,92.578125
133149972,92.96875
133434152,93.359375
133668011,93.75
133900262,94.140625
134157191,94.53125
134418511,94.921875
134652627,95.3125
134875280,95.703125
136650965,96.09375
136896874,96.484375
137978708,96.875
138278463,97.265625
138533368,97.65625
138778467,98.046875
156949357,98.4375
157444398,98.828125
157744747,99.21875
157963827,99.609375
158213490,100
