Program,Wait Time,Ready Time,Run Time,I/O Operations,Instructions Executed,Page Faults
Program 01,29.4420013,0.084456,8.6836891,12,140,0
Program 02,34.9465675,4.6974039,0.937464,12,149,0
Program 03,42.4280243,3.058883,0.422033,12,141,0
Program 04,34.9899521,4.5613918,0.166536,12,91,0
Program 05,32.0262871,4.9506478,0.311692,12,149,0
Program 06,41.2611046,3.1402769,0.662702,12,141,0
Program 07,34.1189651,4.6462402,0.349263,12,91,0
Program 08,43.5799522,4.1479669,0.563243,12,91,0
Program 09,28.1126957,0.090819,6.7118311,12,141,0
Program 10,42.4952469,3.504256,0.655445,12,149,0
Program 11,31.1642551,5.1450968,0.813433,12,140,0
Program 12,41.5570869,3.4256511,0.283118,12,149,0
Program 13,42.6639748,3.8933811,0.528987,12,141,0
Program 14,29.0944595,5.549377,2.0669079,10,75,0
Program 15,38.9065552,0.086115,4.2738161,11,128,0
Program 16,40.8557816,2.991869,0.484763,5,35,0
Program 17,26.8261032,4.6003451,0.632826,12,149,0
Program 18,36.469223,4.0901299,0.65282,12,141,0
Program 19,16.1144657,0.158859,10.8296423,10,120,0
Program 20,22.9052124,5.2000542,0.814472,12,141,0
Program 21,25.2346077,4.6385708,0.190611,13,99,0
Program 22,34.3315849,3.609617,0.77841,12,149,0
Program 23,29.8689957,0.05065,4.2207441,11,127,0
Program 24,30.7036572,3.0763941,0.31733,12,141,0
Program 25,31.0767021,3.3008211,0.401954,7,75,0
Program 26,22.2725887,4.7460151,0.379666,8,59,0
Program 27,31.0939198,3.29777,0.445272,12,140,0
Program 28,20.8854198,4.4614902,0.250574,12,149,0
Program 29,14.1465998,0.079833,10.3088942,12,141,0
Program 30,30.0423126,3.416662,0.261515,11,83,0
