Program,Wait Time,Ready Time,Run Time,I/O Operations,Instructions Executed,Page Faults
Program 01,58.4806442,0.201206,147.7259216,12,140,9
Program 02,58.6964531,0.088136,147.4949036,12,149,10
Program 03,56.4330521,1.060328,141.6656799,12,141,9
Program 04,59.7254944,0.056869,124.2973709,12,91,7
Program 05,61.197773,41.9675026,98.7107315,12,149,10
Program 06,62.8150864,39.177372,95.7842026,12,141,9
Program 07,65.2806854,35.9762688,77.4603271,12,91,7
Program 08,65.2416382,35.8588409,83.6551819,12,91,7
Program 09,66.4831619,34.7540321,99.2220459,12,141,9
Program 10,67.3451843,34.0962715,98.7420349,12,149,10
Program 11,67.4785385,35.3446007,94.5809555,12,140,9
Program 12,67.5081024,36.5661049,96.2732086,12,149,10
Program 13,66.768631,36.6930733,94.0207977,12,141,9
Program 14,69.9303055,24.5458908,63.8193359,10,75,6
Program 15,65.0172272,24.3821602,93.3563995,11,128,9
Program 16,65.276474,23.9430599,64.2201538,5,35,6
Program 17,64.9538651,24.1144199,94.9134369,12,149,10
Program 18,64.3360214,24.1534882,92.2262344,12,141,9
Program 19,56.8121147,24.3125648,95.7574768,10,120,10
Program 20,53.6689682,24.5296516,94.1621857,12,141,9
Program 21,49.9594154,24.3571281,83.0919952,13,99,7
Program 22,49.155365,24.6631126,94.1702881,12,149,10
Program 23,48.6826248,24.7194862,92.8834763,11,127,9
Program 24,50.0662193,23.3002567,93.9340973,12,141,9
Program 25,50.1118088,23.3848515,80.9641571,7,75,7
Program 26,50.5694275,23.2366905,71.1335373,8,59,6
Program 27,50.0270157,22.9171162,90.2425842,12,140,9
Program 28,46.3616943,22.5623455,93.3150406,12,149,10
Program 29,47.4783783,20.9588833,92.7369614,12,141,9
Program 30,47.0392227,20.9455605,75.1311188,11,83,7
