Program,Wait Time,Ready Time,Run Time,I/O Operations,Instructions Executed,Page Faults
Program 01,44.7289467,2.1138041,170.7845306,12,140,9
Program 02,42.6135445,18.0074997,173.8583984,12,149,10
Program 03,30.9233456,23.9391155,169.3132019,12,141,9
Program 04,30.0154896,21.6935215,119.8893509,12,91,7
Program 05,18.9873161,17.0988083,172.5365295,12,149,10
Program 06,15.1556044,24.315258,158.1617889,12,141,9
Program 07,14.0962324,22.3605804,132.9104462,12,91,7
Program 08,14.6533394,33.1948814,125.7304382,12,91,7
Program 09,12.8992786,2.139576,173.0110931,12,141,9
Program 10,14.0011244,29.7614441,161.0608521,12,149,10
Program 11,8.9884109,17.3659191,171.8907471,12,140,9
Program 12,9.3989925,29.0860004,160.8426056,12,149,10
Program 13,8.78619,32.2479973,150.725769,12,141,9
Program 14,6.9887319,15.9998016,88.0001602,10,75,6
Program 15,6.2153592,22.8667965,157.1125488,11,128,9
Program 16,6.1729569,25.5794697,74.805191,5,35,6
Program 17,5.4666109,18.4023609,162.1912689,12,149,10
Program 18,5.7403598,32.6321068,143.8182678,12,141,9
Program 19,3.905725,2.188189,189.621994,10,120,10
Program 20,4.2675638,16.7828693,160.313446,12,141,9
Program 21,4.5709572,19.5042477,119.955513,13,99,7
Program 22,5.075232,30.2385006,158.6147461,12,149,10
Program 23,3.431639,23.4538918,156.1260529,11,127,9
Program 24,3.34232,24.7001896,165.1462555,12,141,9
Program 25,3.365793,29.2337189,132.5130157,7,75,7
Program 26,2.6580989,20.0395966,76.5684891,8,59,6
Program 27,3.0776651,29.3882523,161.1871185,12,140,9
Program 28,2.078979,17.6668034,166.0424042,12,149,10
Program 29,1.351788,2.1144941,185.824707,12,141,9
Program 30,2.5299399,25.7966404,127.819313,11,83,7
