Program,Wait Time,Ready Time,Run Time,I/O Operations,Instructions Executed,Page Faults
Program 01,66.1872406,33.6254845,78.7194901,12,140,9
Program 02,87.2324371,15.4999561,83.7700577,12,149,10
Program 03,65.1080627,34.7912788,80.9766541,12,141,9
Program 04,54.8426819,0.459759,100.8885956,12,91,7
Program 05,86.0209427,15.7090368,83.2868347,12,149,10
Program 06,67.4150848,31.9972172,82.9178543,12,141,9
Program 07,56.3390884,0.632121,98.3968658,12,91,7
Program 08,63.0918617,0.082989,103.7759552,12,91,7
Program 09,59.0103912,31.5705967,81.023201,12,141,9
Program 10,74.7774963,15.7761097,83.8354034,12,149,10
Program 11,51.124897,34.0243187,82.5111771,12,140,9
Program 12,71.2701645,16.1593208,83.2418213,12,149,10
Program 13,53.0792198,31.0297089,81.4396362,12,141,9
Program 14,47.0438156,33.0007935,53.7524567,10,75,6
Program 15,67.379776,15.1154022,82.2539597,11,128,9
Program 16,45.5435066,32.9611855,53.1351318,5,35,6
Program 17,62.4058495,16.4241428,83.7357407,12,149,10
Program 18,61.3330574,14.8208761,79.6857147,12,141,9
Program 19,60.8492622,16.5707512,83.3747864,10,120,10
Program 20,51.9499664,15.1613207,82.6747742,12,141,9
Program 21,30.1159916,33.036087,68.7816925,13,99,7
Program 22,51.8410263,16.7280407,83.0251236,12,149,10
Program 23,27.2224598,34.0458755,79.4756546,11,127,9
Program 24,47.423111,15.3628483,78.7121429,12,141,9
Program 25,25.7371826,34.3228912,65.9639893,7,75,7
Program 26,24.2228165,33.1311073,54.2918129,8,59,6
Program 27,17.5460224,34.631752,79.7949371,12,140,9
Program 28,38.9259338,16.9110928,82.6325531,12,149,10
Program 29,36.0246696,15.5111618,81.661705,12,141,9
Program 30,13.9055471,33.5363121,60.7052956,11,83,7
