Program,Wait Time,Ready Time,Run Time,I/O Operations,Instructions Executed
Program 01,4.1153231,0.151584,6.51087,12,140
Program 02,4.0550108,0.252648,7.1623492,12,149
Program 03,4.1362228,0.756151,6.2417111,12,141
Program 04,6.6071072,3.7139659,0.393323,12,91
Program 05,7.0667772,3.6172431,0.710312,12,149
Program 06,7.0802498,3.5906219,2.8268571,12,141
Program 07,7.3125272,3.287343,6.5284119,12,91
Program 08,7.5761118,3.19646,0.417286,12,91
Program 09,7.8182688,3.0912621,6.234592,12,141
Program 10,8.0574512,2.9958999,0.224772,12,149
Program 11,8.3453503,2.9330511,0.230531,12,140
Program 12,8.5079851,3.0172911,0.21729,12,149
Program 13,8.7508516,3.036473,0.197533,12,141
Program 14,8.900527,3.0824821,0.202808,10,75
Program 15,8.9673452,3.229517,0.297901,11,128
Program 16,16.8803082,0.162255,2.536298,5,35
Program 17,17.1727848,0.087522,1.990641,12,149
Program 18,17.4773922,1.613307,0.270161,12,141
Program 19,17.6602955,1.3972729,0.659265,10,120
Program 20,17.7304516,1.62067,0.258964,12,141
Program 21,17.8193474,1.5786999,0.361457,13,99
Program 22,17.8762035,1.517064,0.746975,12,149
Program 23,17.960022,1.610695,0.922244,11,127
Program 24,17.9571838,1.525524,0.343862,12,141
Program 25,18.0240993,1.572298,0.286115,7,75
Program 26,18.0934696,1.692559,0.233117,8,59
Program 27,18.1730232,1.667014,1.225124,12,140
Program 28,18.2784214,1.558108,0.842534,12,149
Program 29,18.3554745,1.837858,0.74555,12,141
Program 30,18.4255371,1.7627209,0.137099,11,83
