Program,Wait Time,Ready Time,Run Time,I/O Operations,Instructions Executed,Page Faults
Program 01,11.7983561,0.131218,261.3725891,12,140,9
Program 02,12.456439,35.8780556,229.2238922,12,149,10
Program 03,12.7621269,35.6727905,225.2641754,12,141,9
Program 04,13.2687483,35.2675056,127.7201385,12,91,7
Program 05,13.7312889,34.9827271,228.6262207,12,149,10
Program 06,14.1095753,34.7712784,225.2589417,12,141,9
Program 07,14.5175695,34.5561371,129.3658295,12,91,7
Program 08,15.4873619,33.0116234,130.0413055,12,91,7
Program 09,15.5444727,32.3623962,224.8909607,12,141,9
Program 10,20.4837532,27.59132,227.6264038,12,149,10
Program 11,21.0059357,27.2117691,224.7820892,12,140,9
Program 12,21.3849239,27.0371075,227.2904663,12,149,10
Program 13,22.3707924,26.2547607,224.622818,12,141,9
Program 14,24.8385563,23.9651489,111.7167969,10,75,6
Program 15,23.6240234,23.5294456,224.3715668,11,128,9
Program 16,22.2014275,23.5729866,113.0271454,5,35,6
Program 17,21.0627155,23.4162235,226.2659454,12,149,10
Program 18,21.0054607,23.5591602,224.0493927,12,141,9
Program 19,20.9375725,23.7362556,226.0044098,10,120,10
Program 20,20.8033905,23.9602604,223.8162537,12,141,9
Program 21,20.8293419,24.1468201,176.8692932,13,99,7
Program 22,20.8412209,24.4650517,225.2370911,12,149,10
Program 23,20.1222649,24.6518936,223.0104065,11,127,9
Program 24,20.0973568,24.9484634,222.716156,12,141,9
Program 25,20.2212276,25.1780186,210.2798615,7,75,7
Program 26,20.1225986,25.4813919,113.9664993,8,59,6
Program 27,19.9948883,25.7992725,221.7123566,12,140,9
Program 28,26.7361603,19.32658,223.0508575,12,149,10
Program 29,30.535368,15.6503954,221.464325,12,141,9
Program 30,30.7557869,15.7641859,209.8652802,11,83,7
