Program,Wait Time,Ready Time,Run Time,I/O Operations,Instructions Executed
Program 01,31.3307285,0.09775,11.528758,12,140
Program 02,40.8515282,1.67555,0.310066,12,149
Program 03,43.6843338,0.037693,2.4252951,12,141
Program 04,40.6127205,1.564555,0.124703,12,91
Program 05,38.9403687,2.110363,0.268483,12,149
Program 06,43.2573509,2.2169139,0.316862,12,141
Program 07,40.4826927,1.555245,0.122834,12,91
Program 08,45.2571106,2.1288159,0.313706,12,91
Program 09,36.6477776,0.043692,3.4112501,12,141
Program 10,43.8258018,2.3499999,0.479497,12,149
Program 11,38.7250977,1.540787,0.356325,12,140
Program 12,42.9264641,2.246958,0.668585,12,149
Program 13,43.9327049,2.30931,0.770545,12,141
Program 14,37.3851433,2.267869,0.207815,10,75
Program 15,40.8628387,0.043614,3.0225811,11,128
Program 16,41.4908981,2.3516591,0.561847,5,35
Program 17,37.7779503,1.640879,0.317524,12,149
Program 18,43.0535393,2.245764,0.53021,12,141
Program 19,22.9154053,0.222012,14.7826033,10,120
Program 20,35.780056,2.131212,0.591171,12,141
Program 21,36.8157692,1.549636,0.324673,13,99
Program 22,41.3427505,2.3420751,0.312577,12,149
Program 23,37.130127,0.052499,2.7625041,11,127
Program 24,34.9427338,2.406738,1.268896,12,141
Program 25,34.0023422,2.514822,0.431433,7,75
Program 26,28.8684425,1.364661,0.780754,8,59
Program 27,31.8535614,2.3524821,0.229225,12,140
Program 28,25.4901485,1.472515,0.199054,12,149
Program 29,12.6625786,0.08715,13.507041,12,141
Program 30,28.8887978,2.2633569,0.333781,11,83
