Program,Wait Time,Ready Time,Run Time,I/O Operations,Instructions Executed
Program 01,18.3857327,26.4355888,4.367434,12,140
Program 02,50.0133133,3.5807791,1.470179,12,149
Program 03,40.3177071,4.8550801,0.179279,12,141
Program 04,5.4378729,0.116152,36.8090553,12,91
Program 05,49.6802521,3.5592599,1.320115,12,149
Program 06,40.4970093,4.600112,1.5300241,12,141
Program 07,6.3699241,0.06001,37.2361603,12,91
Program 08,7.7186871,0.210468,35.489399,12,91
Program 09,48.0937614,2.0875261,0.193517,12,141
Program 10,49.1735649,3.4948161,0.132423,12,149
Program 11,31.6031837,11.65903,0.196607,12,140
Program 12,49.0801811,3.5672231,0.905472,12,149
Program 13,47.8067856,3.4415751,0.341475,12,141
Program 14,9.0310116,32.2200813,5.5517311,10,75
Program 15,47.6849136,3.363749,0.53626,11,128
Program 16,10.3405437,31.2514,0.437442,5,35
Program 17,48.6821289,3.5477519,0.136235,12,149
Program 18,47.6414223,3.4484949,0.23859,12,141
Program 19,48.6837883,3.6205709,0.128134,10,120
Program 20,47.6560516,3.6501141,0.703481,12,141
Program 21,11.6110315,30.1980762,0.283457,13,99
Program 22,48.6666832,3.666852,0.123204,12,149
Program 23,32.6036415,9.6320763,0.16732,11,127
Program 24,47.1732712,3.6187479,0.131291,12,141
Program 25,35.1189804,7.194037,0.147224,7,75
Program 26,11.3078012,30.1971245,0.223543,8,59
Program 27,37.0711594,5.3220592,0.203171,12,140
Program 28,52.1297035,0.095148,0.109453,12,149
Program 29,46.2368164,3.5794649,0.224291,12,141
Program 30,11.0309896,29.5223236,0.146901,11,83
